,tid,did,name,source_data,target_feature,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures
3,3,3,kr-vs-kp,3,class,1669,3,1527,2,37,3196,0,0,0,37
11,11,11,balance-scale,11,class,288,3,49,3,5,625,0,0,4,1
12,12,12,mfeat-factors,12,class,200,10,200,10,217,2000,,0,216,1
14,14,14,mfeat-fourier,14,class,200,10,200,10,77,2000,0,0,76,1
15,15,15,breast-w,15,Class,458,2,241,2,10,699,16,16,9,1
16,16,16,mfeat-karhunen,16,class,200,10,200,10,65,2000,0,0,64,1
18,18,18,mfeat-morphological,18,class,200,10,200,10,7,2000,0,0,6,1
22,22,22,mfeat-zernike,22,class,200,10,200,10,48,2000,0,0,47,1
23,23,23,cmc,23,Contraceptive_method_used,629,4,333,3,10,1473,0,0,2,8
28,28,28,optdigits,28,class,572,10,554,10,65,5620,0,0,64,1
29,29,29,credit-approval,29,class,383,14,307,2,16,690,37,67,6,10
31,31,31,credit-g,31,class,700,10,300,2,21,1000,0,0,7,14
37,37,37,diabetes,37,class,500,2,268,2,9,768,0,0,8,1
43,43,44,spambase,44,class,2788,2,1813,2,58,4601,0,0,57,1
45,45,46,splice,46,Class,1655,6,767,3,61,3190,0,0,0,61
49,49,50,tic-tac-toe,50,Class,626,3,332,2,10,958,0,0,0,10
53,53,54,vehicle,54,Class,218,4,199,4,19,846,0,0,18,1
2074,2074,182,satimage,182,class,1531,6,625,6,37,6430,0,0,36,1
2079,2079,188,eucalyptus,188,Utility,214,27,105,5,20,736,95,448,14,6
3021,3021,38,sick,38,Class,3541,5,231,2,30,3772,3772,6064,7,23
3022,3022,307,vowel,307,Class,90,15,90,11,13,990,0,0,10,3
3481,3481,300,isolet,300,class,300,26,298,26,618,7797,0,0,617,1
3549,3549,458,analcatdata_authorship,458,Author,317,4,55,4,71,841,0,0,70,1
3560,3560,469,analcatdata_dmft,469,Prevention,155,9,123,6,5,797,0,0,0,5
3902,3902,1049,pc4,1049,c,1280,2,178,2,38,1458,0,0,37,1
3903,3903,1050,pc3,1050,c,1403,2,160,2,38,1563,0,0,37,1
3913,3913,1063,kc2,1063,problems,415,2,107,2,22,522,0,0,21,1
3917,3917,1067,kc1,1067,defects,1783,2,326,2,22,2109,0,0,21,1
3918,3918,1068,pc1,1068,defects,1032,2,77,2,22,1109,0,0,21,1
9946,9946,1510,wdbc,1510,Class,357,2,212,2,31,569,0,0,30,1
9952,9952,1489,phoneme,1489,Class,3818,2,1586,2,6,5404,0,0,5,1
9957,9957,1494,qsar-biodeg,1494,Class,699,2,356,2,42,1055,0,0,41,1
9960,9960,1497,wall-robot-navigation,1497,Class,2205,4,328,4,25,5456,0,0,24,1
9964,9964,1501,semeion,1501,Class,162,10,155,10,257,1593,0,0,256,1
9971,9971,1480,ilpd,1480,Class,416,2,167,2,11,583,0,0,9,2
9976,9976,1485,madelon,1485,Class,1300,2,1300,2,501,2600,0,0,500,1
9978,9978,1487,ozone-level-8hr,1487,Class,2374,2,160,2,73,2534,0,0,72,1
9981,9981,1468,cnae-9,1468,Class,120,9,120,9,857,1080,0,0,856,1
9985,9985,1475,first-order-theorem-proving,1475,Class,2554,6,486,6,52,6118,0,0,51,1
10093,10093,1462,banknote-authentication,1462,Class,762,2,610,2,5,1372,0,0,4,1
10101,10101,1464,blood-transfusion-service-center,1464,Class,570,2,178,2,5,748,0,0,4,1
14954,14954,6332,cylinder-bands,6332,band_type,312,71,228,2,40,540,263,999,18,22
14969,14969,4538,GesturePhaseSegmentationProcessed,4538,Phase,2950,5,998,5,33,9873,0,0,32,1
125920,125920,23381,dresses-sales,23381,Class,290,24,210,2,13,500,401,835,1,12
125922,125922,40499,texture,40499,Class,500,11,500,11,41,5500,0,0,40,1
146800,146800,40966,MiceProtein,40966,class,150,8,105,8,82,1080,528,1396,77,5
146817,146817,40982,steel-plates-fault,40982,target,673,7,55,7,28,1941,0,0,27,1
146819,146819,40994,climate-model-simulation-crashes,40994,outcome,494,2,46,2,21,540,0,0,20,1
146820,146820,40983,wilt,40983,class,4578,2,261,2,6,4839,0,0,5,1
146821,146821,40975,car,40975,class,1210,4,65,4,7,1728,0,0,0,7
146822,146822,40984,segment,40984,class,330,7,330,7,20,2310,0,0,19,1
146824,146824,40979,mfeat-pixel,40979,class,200,10,200,10,241,2000,0,0,240,1
167140,167140,40670,dna,40670,class,1654,3,765,3,181,3186,0,0,0,181
167141,167141,40701,churn,40701,class,4293,10,707,2,21,5000,0,0,16,5
146818,146818,40981,Australian,40981,A15,383,14,307,2,15,690,0,0,6,9
168910,168910,41164,fabert,41164,class,1927,7,502,7,801,8237,0,0,800,1
168911,168911,41143,jasmine,41143,class,1492,2,1492,2,145,2984,0,0,8,137
168912,168912,41146,sylvine,41146,class,2562,2,2562,2,21,5124,0,0,20,1
